Name,Provider,Min_APS,Min_Avg,Req_Math,Income_Limit,Amount,Field,Covers,Deadline,Category
Aurecon Bursary,Aurecon,34,70,60,600000,90000,Engineering,Full tuition + vacation work,31 Aug 2026,Engineering
Sappi Bursary,Sappi,33,65,60,600000,85000,Engineering/Forestry,Full tuition,30 Sep 2026,Chemical Forestry
ArcelorMittal Bursary,ArcelorMittal,33,65,60,600000,85000,Engineering,Full tuition,30 Sep 2026,Engineering Metallurgy
BMW Bursary,BMW,34,70,60,600000,80000,Engineering/IT,Tuition + internship,31 Oct 2026,Engineering IT
Toyota Bursary,Toyota,33,65,60,600000,80000,Engineering/Commerce,Full tuition,30 Sep 2026,Engineering Commerce
Ford Bursary,Ford,32,60,50,600000,70000,Engineering,Tuition,31 Oct 2026,Engineering
Nissan Bursary,Nissan,32,60,50,600000,70000,Engineering,Tuition,31 Oct 2026,Engineering
Unilever Bursary,Unilever,33,65,50,600000,80000,Engineering/Marketing,Tuition,30 Sep 2026,Engineering Marketing
PPS Bursary,PPS,33,65,60,600000,80000,STEM,Full tuition,30 Sep 2026,STEM degree
Ernst & Young Bursary,EY,34,70,60,600000,80000,Accounting,Tuition + traineeship,31 Aug 2026,CA stream
